id,PassedStepsPart,CostablePercentage,ScoredUnscoredRatio,Score,AveragePassingTime,AverageIdlingTime,SkippedPersentage,TimeDeviation,ScoreDeviation,EventsCount,WorkDaysPercentage,DayAverage,MaxIdleDays,MaxVisitingDays,AverageDayPart,passed
28,0.211268,0.146667,0.042969,0.100840,0.023790,0.061098,0.000000,-0.477055,-0.500000,0.048337,1.000000,0.134812,0.000000,0.142857,0.520926,0
30,0.047887,0.235294,0.076923,0.033613,0.003577,0.521627,0.370370,-0.456505,-0.500000,0.011470,1.000000,0.014334,0.000000,0.357143,0.068102,0
31,0.073239,0.076923,0.020833,0.016807,0.003371,0.187726,0.907534,-0.342770,-0.343987,0.013764,1.000000,0.047782,0.000000,0.142857,0.021771,0
33,0.016901,0.000000,0.000000,0.000000,1.000000,0.000796,0.000000,0.058534,0.075148,0.003932,1.000000,0.023891,0.000000,0.071429,0.005301,0
34,0.073239,0.076923,0.020833,0.016807,0.009493,1.000000,0.529412,0.265599,0.192266,0.020973,0.153846,0.071672,0.785714,0.071429,0.004161,0
35,0.188732,0.074627,0.020161,0.042017,0.006797,0.406887,0.255556,-0.380955,-0.372043,0.039980,0.400000,0.041524,0.285714,0.142857,0.083247,0
37,0.208451,0.081081,0.022059,0.050420,0.007774,0.342604,0.225490,-0.452647,-0.484609,0.053252,0.636364,0.044856,0.071429,0.142857,0.190374,0
38,0.200000,0.126761,0.036290,0.075630,0.009707,1.000000,0.000000,-0.387343,-0.487385,0.051122,0.933333,0.023647,0.071429,0.928571,0.136977,0
39,0.014085,0.000000,0.000000,0.000000,1.000000,0.000074,0.400000,-0.013684,0.080402,0.002949,1.000000,0.020478,0.000000,0.071429,0.003032,0
40,0.053521,0.000000,0.000000,0.000000,1.000000,0.001156,0.942073,-0.230784,-0.216065,0.010323,1.000000,0.064846,0.000000,0.071429,0.422546,0
41,0.064789,0.130435,0.037500,0.025210,0.019491,1.000000,0.000000,-0.370576,-0.404460,0.013764,0.230769,0.030717,0.714286,0.142857,0.107045,0
42,0.016901,0.000000,0.000000,0.000000,1.000000,0.249261,0.780488,-0.455887,-0.500000,0.004260,1.000000,0.017065,0.000000,0.142857,0.054630,0
43,0.292958,0.182692,0.055882,0.201681,0.133668,0.451427,0.009434,0.373642,0.351044,0.060790,0.285714,0.094710,0.571429,0.142857,0.238663,1
45,0.323944,0.191304,0.059140,0.252101,1.000000,0.279712,0.000000,-0.458257,-0.473147,0.075373,0.785714,0.042197,0.142857,0.428571,0.373978,0
46,0.163380,0.068966,0.018519,0.033613,0.002821,0.001199,0.134328,-0.428502,-0.423926,0.036539,1.000000,0.197952,0.000000,0.071429,0.141227,0
47,0.008451,0.000000,0.000000,0.000000,1.000000,1.000000,0.500000,-0.161323,-0.500000,0.002130,1.000000,0.017065,0.000000,0.071429,0.004225,0
48,0.597183,0.169811,0.051136,0.445378,1.000000,1.000000,0.000000,-0.053080,-0.166153,0.198919,0.866667,0.090312,0.071429,0.714286,0.307655,0
49,0.169014,0.083333,0.022727,0.042017,0.330948,0.040095,0.357895,-0.461752,-0.466394,0.034573,0.214286,0.070535,0.785714,0.142857,0.073719,0
50,0.050704,0.111111,0.031250,0.016807,0.005779,0.003268,0.000000,-0.484415,-0.500000,0.011634,1.000000,0.061433,0.000000,0.071429,0.032292,0
53,0.002817,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,-0.125211,-0.500000,0.002786,0.928571,0.003413,0.071429,0.857143,0.078503,0
54,0.002817,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,-0.078290,-0.500000,0.003769,1.000000,0.003413,0.000000,0.500000,0.451946,0
55,0.295775,0.180952,0.055233,0.201681,0.601365,0.387587,0.000000,-0.493683,-0.500000,0.068819,0.666667,0.042662,0.214286,0.428571,0.237179,0
56,0.095775,0.117647,0.033333,0.033613,0.003577,0.001061,0.000000,0.197355,0.132883,0.020154,1.000000,0.116041,0.000000,0.071429,0.085370,0
57,0.194366,0.072464,0.019531,0.042017,0.009824,0.321636,0.278351,-0.406042,-0.424372,0.048337,0.909091,0.028669,0.071429,0.428571,0.216834,0
58,0.033803,0.000000,0.000000,0.000000,1.000000,0.002546,0.176471,0.127056,-0.032997,0.009176,1.000000,0.047782,0.000000,0.071429,0.009826,0
59,0.059155,0.142857,0.041667,0.025210,0.001330,0.648686,0.000000,-0.401801,-0.452056,0.013436,0.666667,0.042662,0.071429,0.071429,0.007500,0
60,0.129577,0.130435,0.037500,0.050420,0.005595,0.457991,0.866477,0.060084,-0.124557,0.038014,0.714286,0.019113,0.285714,0.642857,0.394574,0
61,0.002817,0.000000,0.000000,0.000000,1.000000,0.000298,0.333333,0.147059,0.500000,0.000983,1.000000,0.006826,0.000000,0.071429,0.000417,0
62,0.002817,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000492,0.000000,0.000000,0.000000,0.000000,0.000000,0
63,0.002817,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000492,0.000000,0.000000,0.000000,0.000000,0.000000,0
64,0.140845,0.140000,0.040698,0.058824,0.020166,0.190846,0.000000,0.203097,0.177393,0.029494,1.000000,0.092150,0.000000,0.142857,0.100289,0
65,0.056338,0.100000,0.027778,0.016807,0.001376,0.000442,0.000000,-0.288073,-0.288454,0.011306,1.000000,0.068259,0.000000,0.071429,0.016400,0
66,0.016901,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,-0.329123,-0.329123,0.002949,1.000000,0.020478,0.000000,0.071429,0.073275,0
67,0.025352,0.000000,0.000000,0.000000,1.000000,0.000124,0.000000,-0.035664,0.011162,0.004752,1.000000,0.030717,0.000000,0.071429,0.005069,0
68,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000328,0.000000,0.000000,0.000000,0.000000,0.000000,0
70,0.143662,0.137255,0.039773,0.058824,0.005130,0.037445,0.000000,-0.023366,-0.133693,0.042110,1.000000,0.090444,0.000000,0.142857,0.033044,0
73,0.315493,0.187500,0.057692,0.235294,0.090754,0.534926,0.000000,-0.190129,-0.218274,0.070621,0.866667,0.034392,0.142857,0.714286,0.327836,1
74,0.428169,0.111842,0.031481,0.235294,0.056386,0.287270,0.155556,0.070584,0.065570,0.085859,0.357143,0.105802,0.428571,0.142857,0.193081,0
75,0.008451,0.000000,0.000000,0.000000,1.000000,0.006426,0.333333,-0.407445,-0.500000,0.002294,1.000000,0.013652,0.000000,0.071429,0.017743,1
76,0.022535,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.137902,0.137902,0.003932,1.000000,0.027304,0.000000,0.071429,0.002593,0
78,0.002817,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000492,0.000000,0.000000,0.000000,0.000000,0.000000,0
79,0.309859,0.163636,0.048913,0.184874,1.000000,1.000000,0.008621,-0.205403,-0.263836,0.086351,0.857143,0.049204,0.142857,0.714286,0.170022,0
80,0.019718,0.000000,0.000000,0.000000,1.000000,1.000000,0.125000,-0.274834,-0.274834,0.003441,1.000000,0.023891,0.000000,0.071429,0.000787,0
81,0.056338,0.100000,0.027778,0.016807,0.001032,0.000897,0.000000,0.045407,-0.006387,0.010650,1.000000,0.068259,0.000000,0.071429,0.016157,0
82,0.028169,0.000000,0.000000,0.000000,1.000000,0.000157,0.000000,0.051481,0.139935,0.005571,1.000000,0.034130,0.000000,0.071429,0.002153,0
83,0.002817,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,-0.156048,-0.500000,0.002294,0.857143,0.003413,0.071429,0.285714,0.115581,0
84,0.166197,0.152542,0.045000,0.084034,0.041566,0.004604,0.210526,-0.107878,-0.056371,0.035556,1.000000,0.102389,0.000000,0.142857,0.108918,0
85,0.008451,0.000000,0.000000,0.000000,1.000000,0.027414,0.000000,-0.399548,-0.500000,0.001639,1.000000,0.010239,0.000000,0.071429,0.038588,0
86,0.149296,0.150943,0.044444,0.067227,0.068758,0.245943,0.000000,-0.319953,-0.370091,0.029658,0.500000,0.065984,0.214286,0.142857,0.057025,0
87,0.256338,0.098901,0.027439,0.075630,0.011450,1.000000,0.348387,-0.350005,-0.373199,0.094216,0.866667,0.055395,0.142857,0.857143,0.289064,0
88,0.002817,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,-0.026866,-0.500000,0.004260,1.000000,0.003413,0.000000,0.642857,0.329214,0
89,0.602817,0.177570,0.053977,0.478992,0.367835,0.144831,0.000000,-0.186929,-0.251801,0.156153,0.857143,0.067122,0.071429,0.357143,0.406376,1
90,0.366197,0.076923,0.020833,0.117647,0.086060,0.224561,0.311558,-0.060342,-0.090537,0.080944,0.750000,0.056124,0.214286,0.428571,0.176037,0
91,0.622535,0.180995,0.055249,0.504202,0.241614,0.641653,0.000000,-0.190443,-0.210579,0.132230,1.000000,0.057793,0.000000,1.071429,0.337878,1
92,0.011268,0.000000,0.000000,0.000000,1.000000,1.000000,0.983673,-0.119756,-0.500000,0.005735,1.000000,0.011092,0.000000,0.285714,0.346270,0
93,0.146479,0.153846,0.045455,0.067227,0.005847,0.064508,0.000000,-0.077574,-0.104480,0.030149,1.000000,0.093857,0.000000,0.142857,0.083194,0
94,0.002817,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,-0.149886,-0.500000,0.002130,0.666667,0.003413,0.142857,0.285714,0.115859,0
95,0.014085,0.000000,0.000000,0.000000,1.000000,0.008096,0.974747,-0.412627,-0.500000,0.002622,1.000000,0.017065,0.000000,0.071429,0.015185,0
96,0.002817,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,-0.178906,-0.500000,0.001639,0.538462,0.003413,0.214286,0.142857,0.000886,0
97,0.005634,0.000000,0.000000,0.000000,1.000000,1.000000,0.818182,0.000000,0.000000,0.000983,1.000000,0.006826,0.000000,0.071429,0.000046,0
99,0.315493,0.187500,0.057692,0.235294,0.618126,1.000000,0.000000,-0.164092,-0.224796,0.078322,0.785714,0.044058,0.142857,0.500000,0.149886,0
100,0.002817,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000492,0.000000,0.000000,0.000000,0.000000,0.000000,0
101,0.073239,0.115385,0.032609,0.033613,0.014951,0.019314,0.611111,-0.393597,-0.456924,0.017369,1.000000,0.095563,0.000000,0.071429,0.092836,1
102,0.002817,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000492,0.000000,0.000000,0.000000,0.000000,0.000000,0
103,0.281690,0.170000,0.051205,0.193277,1.000000,0.859173,0.098214,-0.388210,-0.410784,0.068327,0.750000,0.076223,0.142857,0.285714,0.566779,0
104,0.428169,0.111842,0.031481,0.235294,0.056467,0.029118,0.155556,-0.207258,-0.211471,0.087334,0.333333,0.105802,0.357143,0.142857,0.069748,1
107,0.002817,0.000000,0.000000,0.000000,1.000000,0.883996,0.000000,-0.109819,-0.500000,0.001311,1.000000,0.003413,0.000000,0.142857,0.253912,0
108,0.002817,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000492,0.000000,0.000000,0.000000,0.000000,0.000000,0
109,0.095775,0.117647,0.033333,0.033613,0.007739,0.000649,0.000000,-0.185444,-0.187708,0.018515,1.000000,0.116041,0.000000,0.071429,0.030069,0
110,0.002817,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,-0.250000,-0.500000,0.000655,0.666667,0.003413,0.071429,0.071429,0.000000,0
111,0.160563,0.210526,0.066667,0.109244,0.006489,0.001648,0.745247,0.117008,0.155731,0.035392,0.200000,0.076223,0.571429,0.071429,0.021370,0
112,0.016901,0.333333,0.125000,0.016807,0.001307,0.000502,0.757576,-0.075706,-0.055332,0.005571,1.000000,0.027304,0.000000,0.071429,0.002569,0
114,0.025352,0.111111,0.031250,0.008403,0.002614,0.000769,0.411765,0.082173,-0.046875,0.005571,1.000000,0.034130,0.000000,0.071429,0.002847,0
115,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,-0.223498,0.000000,0.001147,0.357143,0.003413,0.214286,0.071429,0.035738,0
116,0.028169,0.000000,0.000000,0.000000,1.000000,0.058243,0.000000,0.418201,0.394559,0.006390,1.000000,0.037543,0.000000,0.071429,0.571516,0
117,0.597183,0.169811,0.051136,0.453782,1.000000,0.493754,0.000000,-0.175636,-0.173437,0.135343,0.866667,0.065371,0.071429,0.571429,0.585975,0
118,0.163380,0.086207,0.023585,0.042017,0.004485,0.525603,0.134328,-0.157073,-0.155844,0.031788,0.416667,0.043686,0.357143,0.142857,0.028472,0
120,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,-0.114914,0.000000,0.010978,1.000000,0.003413,0.000000,1.071429,0.411727,0
121,0.090141,0.031250,0.008065,0.008403,0.004403,0.000880,0.625000,-0.285610,-0.370831,0.019335,1.000000,0.122867,0.000000,0.071429,0.091875,0
122,0.002817,0.000000,0.000000,0.000000,1.000000,0.477549,0.000000,-0.249994,-0.500000,0.000655,1.000000,0.003413,0.000000,0.142857,0.000000,0
124,0.002817,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000492,0.000000,0.000000,0.000000,0.000000,0.000000,0
125,0.129577,0.152174,0.044872,0.058824,0.018417,0.658162,0.000000,-0.458496,-0.500000,0.028674,0.785714,0.017375,0.071429,0.285714,0.066778,0
127,0.228169,0.197531,0.061538,0.159664,0.082698,1.000000,0.012195,-0.430243,-0.481964,0.048828,0.466667,0.047294,0.428571,0.214286,0.135944,0
128,0.016901,0.000000,0.000000,0.000000,1.000000,0.000116,0.866667,-0.278019,-0.264190,0.003113,1.000000,0.020478,0.000000,0.071429,0.009734,0
129,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.115031,0.000000,0.001311,0.461538,0.003413,0.285714,0.285714,0.025183,0
130,0.005634,0.000000,0.000000,0.000000,1.000000,0.000314,0.750000,-0.338983,-0.500000,0.001147,1.000000,0.006826,0.000000,0.071429,0.000440,0
131,0.126761,0.177778,0.054054,0.067227,0.012658,0.205020,0.000000,-0.251733,-0.350106,0.034409,1.000000,0.061433,0.000000,0.214286,0.034252,0
133,0.028169,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.118785,0.118785,0.004916,1.000000,0.034130,0.000000,0.071429,0.004144,0
135,0.177465,0.079365,0.021552,0.042017,0.001431,0.606145,0.250000,-0.490734,-0.500000,0.037359,0.300000,0.078498,0.500000,0.142857,0.228634,0
136,0.140845,0.080000,0.021739,0.033613,0.137586,0.502570,0.238806,-0.149017,-0.117562,0.030149,0.500000,0.053754,0.285714,0.142857,0.152807,0
137,0.095775,0.058824,0.015625,0.016807,0.004472,0.001611,0.385965,-0.397422,-0.387812,0.019499,1.000000,0.059727,0.000000,0.142857,0.105463,0
138,0.019718,0.000000,0.000000,0.000000,1.000000,0.000223,0.000000,-0.069384,-0.047417,0.003605,1.000000,0.023891,0.000000,0.071429,0.006042,0
139,0.484507,0.168605,0.050699,0.344538,1.000000,0.859845,0.508523,-0.261406,-0.228528,0.112404,0.461538,0.110922,0.428571,0.214286,0.185820,0
141,0.002817,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,-0.243745,-0.500000,0.000819,1.000000,0.003413,0.000000,0.214286,0.000000,0
142,0.092958,0.090909,0.025000,0.025210,0.001055,1.000000,0.000000,-0.479864,-0.500000,0.018352,0.444444,0.031570,0.214286,0.142857,0.097436,0
143,0.250704,0.179775,0.054795,0.159664,0.036133,1.000000,0.419355,0.028048,-0.095206,0.064395,0.466667,0.063871,0.285714,0.142857,0.392675,1
144,0.050704,0.222222,0.071429,0.033613,0.020775,1.000000,0.780488,-0.008477,-0.069952,0.012453,0.200000,0.025028,0.714286,0.071429,0.016497,0
145,0.002817,0.000000,0.000000,0.000000,1.000000,0.736151,0.000000,-0.250000,-0.500000,0.000655,1.000000,0.003413,0.000000,0.142857,0.000000,0
147,0.002817,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,-0.266058,-0.500000,0.001475,0.400000,0.003413,0.642857,0.285714,0.024996,0
148,0.019718,0.000000,0.000000,0.000000,1.000000,0.059434,0.851064,0.321627,0.314947,0.003605,1.000000,0.023891,0.000000,0.071429,0.103519,0
149,0.183099,0.046154,0.012097,0.042017,0.096906,0.595528,0.755102,-0.100315,-0.143731,0.038670,0.615385,0.032423,0.142857,0.142857,0.129933,0
150,0.152113,0.166667,0.050000,0.075630,0.003531,0.450682,0.000000,-0.481229,-0.500000,0.033426,1.000000,0.019857,0.000000,0.785714,0.169592,0
151,0.053521,0.000000,0.000000,0.000000,1.000000,1.000000,0.943343,0.170103,0.124414,0.011306,0.777778,0.014139,0.071429,0.357143,0.018800,0
152,0.039437,0.000000,0.000000,0.000000,1.000000,0.000232,0.860000,-0.267455,-0.285727,0.007046,0.285714,0.023891,0.357143,0.071429,0.001186,0
154,0.146479,0.153846,0.045455,0.067227,0.003405,0.504992,0.000000,0.012965,0.004962,0.035065,0.363636,0.048635,0.428571,0.142857,0.015203,0
155,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000328,0.000000,0.000000,0.000000,0.000000,0.000000,0
156,0.098592,0.114286,0.032258,0.033613,0.003715,0.031305,0.000000,-0.470051,-0.470017,0.023267,1.000000,0.119454,0.000000,0.071429,0.569722,0
159,0.129577,0.152174,0.044872,0.058824,0.003145,0.000200,0.000000,-0.159652,-0.128076,0.025397,1.000000,0.156997,0.000000,0.071429,0.006979,0
160,0.146479,0.153846,0.045455,0.067227,0.020105,0.040564,0.000000,-0.327787,-0.383803,0.031951,1.000000,0.090444,0.000000,0.142857,0.516869,0
161,0.157746,0.035714,0.009259,0.016807,0.006879,0.409153,0.828169,0.019035,-0.003088,0.029821,1.000000,0.107509,0.000000,0.142857,0.013073,0
162,0.028169,0.300000,0.107143,0.025210,0.001192,0.129317,0.924138,-0.440832,-0.465132,0.006554,1.000000,0.020478,0.000000,0.142857,0.312384,0
163,0.143662,0.137255,0.039773,0.058824,0.039389,1.000000,0.000000,-0.494033,-0.499970,0.034737,0.266667,0.050341,0.428571,0.142857,0.089468,0
164,0.078873,0.107143,0.030000,0.025210,0.001147,0.137730,0.000000,0.229963,0.174464,0.018515,1.000000,0.095563,0.000000,0.071429,0.409097,0
167,0.369014,0.167939,0.050459,0.252101,0.274564,1.000000,0.007407,-0.339477,-0.366902,0.100770,0.733333,0.064536,0.214286,0.357143,0.360244,1
168,0.022535,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.068762,-0.001962,0.004916,0.625000,0.008874,0.071429,0.142857,0.007947,0
169,0.312676,0.198198,0.061798,0.252101,1.000000,1.000000,0.156716,-0.423099,-0.481086,0.096838,0.733333,0.049023,0.214286,0.357143,0.245391,0
170,0.695775,0.194332,0.060302,0.596639,0.154982,0.373081,0.000000,-0.208695,-0.239081,0.160741,0.571429,0.119027,0.214286,0.214286,0.148015,0
171,0.019718,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,-0.456300,-0.500000,0.003769,0.666667,0.013652,0.071429,0.071429,0.056476,0
172,0.163380,0.086207,0.023585,0.042017,0.002064,0.194078,0.134328,-0.494717,-0.500000,0.032115,0.600000,0.068259,0.142857,0.142857,0.333086,0
174,0.402817,0.174825,0.052966,0.302521,0.099375,0.155548,0.000000,-0.281663,-0.308435,0.088645,0.615385,0.063567,0.285714,0.214286,0.238170,0
175,0.059155,0.000000,0.000000,0.000000,1.000000,0.004763,0.547170,-0.397661,-0.441016,0.011797,1.000000,0.081911,0.000000,0.071429,0.301319,0
176,0.909859,0.201238,0.062984,0.848739,0.690449,0.465183,0.000000,-0.452779,-0.464557,0.205800,0.923077,0.106655,0.071429,0.785714,0.330318,1
177,0.008451,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,-0.071429,-0.071429,0.001475,1.000000,0.010239,0.000000,0.071429,0.000208,0
178,0.569014,0.158416,0.047059,0.394958,0.880788,0.636090,0.425352,0.028791,0.054326,0.138948,0.666667,0.088396,0.357143,0.571429,0.189484,0
179,0.005634,0.000000,0.000000,0.000000,1.000000,0.000132,0.990596,0.007463,-0.258621,0.001475,1.000000,0.010239,0.000000,0.071429,0.000521,0
180,0.025352,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,-0.264706,-0.264706,0.004424,1.000000,0.030717,0.000000,0.071429,0.000162,0
182,0.242254,0.081395,0.022152,0.067227,0.003793,0.370823,0.212389,0.015153,-0.025730,0.052433,0.307692,0.081058,0.500000,0.142857,0.036068,0
183,0.030986,0.000000,0.000000,0.000000,1.000000,0.000120,0.476190,-0.083151,-0.075960,0.005735,1.000000,0.037543,0.000000,0.071429,0.002245,0
184,0.061972,0.090909,0.025000,0.016807,0.001169,0.000147,0.000000,-0.243651,-0.241715,0.011634,1.000000,0.075085,0.000000,0.071429,0.009676,0
185,0.152113,0.166667,0.050000,0.075630,0.008561,0.536633,0.000000,0.056800,-0.016318,0.032115,0.307692,0.048635,0.357143,0.071429,0.024421,0
186,0.002817,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000492,0.000000,0.000000,0.000000,0.000000,0.000000,0
187,0.036620,0.076923,0.020833,0.008403,0.002064,0.000157,0.000000,0.052375,0.045175,0.006554,1.000000,0.044369,0.000000,0.071429,0.005660,0
189,0.183099,0.246154,0.081633,0.159664,1.000000,0.392787,0.816901,0.484590,0.481441,0.039161,0.333333,0.080774,0.428571,0.142857,0.088534,0
190,0.036620,0.153846,0.045455,0.016807,0.002339,0.002150,0.000000,0.095888,0.047461,0.007210,1.000000,0.044369,0.000000,0.071429,0.008148,0
191,0.154930,0.145455,0.042553,0.067227,0.804411,0.083584,0.000000,-0.247183,-0.275385,0.030805,1.000000,0.098976,0.000000,0.142857,0.247703,0
192,0.301408,0.186916,0.057471,0.218487,0.059719,0.141079,0.000000,-0.305254,-0.294820,0.062756,1.000000,0.080546,0.000000,0.357143,0.121322,0
193,0.129577,0.152174,0.044872,0.058824,0.004580,0.004099,0.000000,-0.254299,-0.319519,0.026872,1.000000,0.156997,0.000000,0.071429,0.132106,0
194,0.022535,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,-0.459967,-0.500000,0.004096,0.285714,0.015358,0.357143,0.071429,0.001916,0
195,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000328,0.000000,0.000000,0.000000,0.000000,0.000000,0
197,0.002817,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000492,0.000000,0.000000,0.000000,0.000000,0.000000,0
199,0.002817,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000492,0.000000,0.000000,0.000000,0.000000,0.000000,0
200,0.028169,0.000000,0.000000,0.000000,1.000000,0.000870,0.870130,-0.003292,-0.037861,0.005571,1.000000,0.034130,0.000000,0.071429,0.026678,0
201,0.200000,0.126761,0.036290,0.075630,0.008591,1.000000,0.000000,-0.416600,-0.470446,0.043257,0.250000,0.134812,0.428571,0.071429,0.271100,0
203,0.225352,0.112500,0.031690,0.075630,1.000000,1.000000,0.022222,-0.102297,-0.168992,0.059807,0.800000,0.034699,0.071429,0.357143,0.224378,0
204,0.005634,0.000000,0.000000,0.000000,1.000000,0.000149,0.857143,-0.323529,-0.500000,0.001147,1.000000,0.006826,0.000000,0.071429,0.000208,0
205,0.036620,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,-0.355484,-0.355484,0.006390,1.000000,0.044369,0.000000,0.071429,0.003333,0
207,0.011268,0.000000,0.000000,0.000000,1.000000,0.000914,0.000000,-0.035149,-0.012422,0.002949,1.000000,0.013652,0.000000,0.071429,0.002211,0
